name_a,name_b,score
bacon,butter,-0.0437
bacon,cheddar cheese,0.2316
bacon,chicken,0.0563
bacon,sauce,0.0727
butter,cheddar cheese,0.0325
butter,chicken,-0.0398
butter,sauce,-0.0963
cheddar cheese,chicken,0.0499
cheddar cheese,sauce,0.1003
chicken,sauce,0.11
butter,fennel,-0.075
butter,olive oil,-0.1778
butter,pepper,-0.049
butter,romano cheese,0.0104
butter,salt,0.1218
fennel,olive oil,0.2083
fennel,pepper,0.1275
fennel,romano cheese,0.1208
fennel,salt,0.0706
olive oil,pepper,0.3208
olive oil,romano cheese,0.1673
olive oil,salt,0.1183
pepper,romano cheese,0.1193
pepper,salt,0.1828
romano cheese,salt,0.0203
butter,chocolate,0.1671
butter,egg,0.1326
butter,flour,0.3372
butter,icing,0.1395
butter,white chocolate,0.124
chocolate,egg,0.1186
chocolate,flour,0.1641
chocolate,icing,0.1851
chocolate,white chocolate,0.1888
egg,flour,0.2734
egg,icing,0.073
egg,white chocolate,0.1014
flour,icing,0.1317
flour,white chocolate,0.1078
icing,white chocolate,0.1344
brown sugar,chocolate,0.1824
brown sugar,margarine,0.0949
brown sugar,peanut butter,0.1753
brown sugar,sugar substitute,-0.029
brown sugar,vanilla,0.3103
chocolate,margarine,0.1027
chocolate,peanut butter,0.3441
chocolate,sugar substitute,0.0841
chocolate,vanilla,0.3775
margarine,peanut butter,0.1185
margarine,sugar substitute,0.125
margarine,vanilla,0.1307
peanut butter,sugar substitute,0.1186
peanut butter,vanilla,0.2262
sugar substitute,vanilla,0.138
butter,pecans,0.1527
bacon,beans,0.0828
beans,sauce,0.0532
corn,garlic,0.064
corn,spinach,-0.0555
garlic,spinach,0.1423
cranberry,stuffing,0.3253
cranberry,turkey,0.2692
mozzarella cheese,stuffing,0.0647
mozzarella cheese,turkey,0.1022
stuffing,turkey,0.3291
basil,butter,-0.1064
basil,chicken,0.067
basil,corn,0.0205
basil,flour,-0.1694
basil,pepper,0.1858
basil,salt,0.0438
butter,corn,-0.034
chicken,corn,0.1025
chicken,flour,-0.0559
chicken,pepper,0.1703
chicken,salt,-0.0168
corn,flour,-0.0813
corn,pepper,0.0886
corn,salt,0.0168
flour,pepper,-0.1251
flour,salt,0.2582
adobo,beef,0.1121
adobo,butter,-0.0786
adobo,canola oil,0.0554
adobo,cheddar cheese,0.0991
adobo,chili,0.1778
adobo,cumin,0.2706
adobo,garlic,0.1187
adobo,onion,0.1014
adobo,pepper,0.0605
adobo,water,-0.0376
beef,butter,-0.1043
beef,canola oil,-0.009
beef,cheddar cheese,0.1709
beef,chili,0.2237
beef,cumin,0.1287
beef,garlic,0.1546
beef,meat,0.088
beef,onion,0.2507
beef,pepper,0.1324
beef,water,0.0596
butter,canola oil,-0.1044
butter,chili,-0.1792
butter,cumin,-0.1638
butter,garlic,-0.0992
butter,meat,-0.087
butter,onion,-0.0871
butter,water,-0.0711
canola oil,cheddar cheese,-0.0586
canola oil,chili,0.0777
canola oil,cumin,0.1141
canola oil,garlic,0.0476
canola oil,meat,-0.0261
canola oil,onion,0.0181
canola oil,pepper,0.0328
canola oil,water,0.0124
cheddar cheese,chili,0.1391
cheddar cheese,cumin,0.0667
cheddar cheese,garlic,0.0004
cheddar cheese,meat,0.0111
cheddar cheese,onion,0.0924
cheddar cheese,pepper,0.074
cheddar cheese,water,-0.0748
chili,cumin,0.4639
chili,garlic,0.2013
chili,meat,0.0811
chili,onion,0.1764
chili,pepper,0.091
chili,water,0.0282
cumin,garlic,0.2539
cumin,meat,0.0449
cumin,onion,0.2075
cumin,pepper,0.1704
cumin,water,0.051
garlic,meat,0.0663
garlic,onion,0.2955
garlic,pepper,0.3241
garlic,water,0.0132
meat,onion,0.1369
meat,pepper,0.0366
meat,water,0.0319
onion,pepper,0.2535
onion,water,0.0419
pepper,water,-0.0332
butter,cheese,-0.0304
butter,cream,0.153
butter,parsley,0.0218
butter,pasta,-0.0527
cheese,cream,-0.0103
cheese,garlic,0.0269
cheese,parsley,0.0171
cheese,pasta,0.1378
cheese,pepper,0.0606
cream,garlic,-0.0506
cream,parsley,0.0222
cream,pasta,0.0755
cream,pepper,-0.0233
garlic,parsley,0.2352
garlic,pasta,0.1693
parsley,pasta,0.1741
parsley,pepper,0.2321
pasta,pepper,0.1408
garlic,olive oil,0.3451
garlic,salt,0.0921
apple,lemon,0.0487
horseradish,mustard,0.2347
horseradish,olive oil,-0.0218
horseradish,orange,-0.052
horseradish,pepper,0.0878
horseradish,salt,0.0208
mustard,olive oil,0.0908
mustard,orange,-0.0106
mustard,pepper,0.1608
mustard,salt,0.0636
olive oil,orange,-0.049
orange,pepper,-0.0841
orange,salt,-0.0088
salt,water,0.0535
banana,milk,0.1032
banana,yogurt,0.197
milk,yogurt,-0.0046
butter,cinnamon,0.1475
butter,cream cheese,0.0788
butter,sugar,0.2282
cinnamon,cream cheese,0.0569
cinnamon,flour,0.2225
cinnamon,sugar,0.2567
cream cheese,flour,0.0096
cream cheese,sugar,0.1447
flour,sugar,0.3272
butter,rice,-0.0649
chocolate,rice,-0.1127
topping,water,0.0466
egg,ham,-0.0194
egg,mushroom,-0.0032
egg,stuffing,-0.0243
egg,swiss cheese,-0.0118
egg,water,-0.0185
egg,white wine,-0.1456
ham,mushroom,0.0586
ham,stuffing,-0.0072
ham,swiss cheese,0.4013
ham,water,-0.0146
ham,white wine,-0.0172
mushroom,stuffing,0.2633
mushroom,swiss cheese,0.1923
mushroom,water,0.0325
mushroom,white wine,0.061
stuffing,swiss cheese,0.2441
stuffing,water,0.0717
stuffing,white wine,-0.0208
swiss cheese,water,-0.0956
swiss cheese,white wine,0.0748
water,white wine,-0.0302
cheddar cheese,egg,-0.0297
cheddar cheese,salt,-0.023
chicken,chili,0.1044
chicken,egg,-0.1198
chicken,garlic,0.2002
chili,egg,-0.1129
chili,salt,0.0517
egg,garlic,-0.1557
egg,salt,0.1099
bacon,balsamic vinegar,-0.0094
bacon,garlic,0.0279
bacon,honey,-0.103
bacon,mustard,0.1195
bacon,olive oil,-0.0388
bacon,pecans,-0.1036
bacon,shallot,0.0344
bacon,spinach,0.0936
balsamic vinegar,garlic,0.1141
balsamic vinegar,honey,0.1474
balsamic vinegar,mustard,0.1487
balsamic vinegar,olive oil,0.2733
balsamic vinegar,pecans,-0.0017
balsamic vinegar,shallot,0.1613
balsamic vinegar,spinach,0.0993
garlic,honey,-0.0381
garlic,mustard,0.0583
garlic,pecans,-0.2472
garlic,shallot,0.1255
honey,mustard,0.1603
honey,olive oil,0.0033
honey,pecans,0.0671
honey,shallot,0.0535
honey,spinach,-0.0661
mustard,pecans,-0.0693
mustard,shallot,0.1496
mustard,spinach,0.0455
olive oil,pecans,-0.1486
olive oil,shallot,0.2011
olive oil,spinach,0.1498
pecans,shallot,-0.0553
pecans,spinach,-0.0568
shallot,spinach,0.0993
chocolate,cinnamon,0.033
chocolate,cocoa powder,0.3663
chocolate,maple syrup,-0.0336
chocolate,pastry,0.0345
chocolate,rum,0.0581
chocolate,tofu,-0.0639
chocolate,water,-0.0895
cinnamon,cocoa powder,0.0623
cinnamon,maple syrup,0.225
cinnamon,pastry,0.1456
